date,latitude,longitude,location,source,source_url,trigger,rainfall (mm),landslide_type,severity
2014-05-20 00:00:00,-46.7748,167.6337,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Kakapo-Maggie-dies-in-landslide/tabid/1160/articleID/347074/Default.aspx'},Unknown,87,Unknown,Minor
2010-05-29 06:45:00,-45.9034,170.0982,New Zealand,Otago Daily Times,{'url': 'http://www.odt.co.nz/news/dunedin/108264/landslide-shunts-camp-building'},Unknown,461,Unknown,Moderate
2015-06-04 00:00:00,-45.8767,170.6273,New Zealand,Stuff.co,{'url': 'http://www.stuff.co.nz/national/69094695/prison-officer-trapped-after-cars-landslide-plunge'},Unknown,862,Unknown,Severe
2013-06-17 00:00:00,-45.8727,170.5863,New Zealand,www.radionz.co.nz,{'url': 'http://www.radionz.co.nz/news/national/137785/flooding-strikes-north-otago-and-canterbury'},Unknown,849,Unknown,Severe
2014-05-01 04:00:00,-45.8618,170.509,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Landslide-crashes-into-Dunedin-house/tabid/423/articleID/342263/Default.aspx'},Unknown,668,Unknown,Moderate
2010-02-17 00:00:00,-45.858,-67.5078,Argentina,momento24.com,{'url': 'http://momento24.com/en/2010/02/18/mudslide-leaves-two-killed-in-comodoro-rivadavia/'},Unknown,809,Unknown,Severe
2010-05-29 02:00:00,-45.8456,170.6328,New Zealand,odt,{'url': 'http://www.odt.co.nz/news/dunedin/108264/landslide-shunts-camp-building'},Unknown,952,Unknown,Severe
2013-06-17 00:00:00,-45.8358,170.6646,New Zealand,www.radionz.co.nz,{'url': 'http://www.radionz.co.nz/news/national/137785/flooding-strikes-north-otago-and-canterbury'},Unknown,453,Unknown,Moderate
2013-06-19 22:00:00,-45.8243,170.5957,New Zealand,tvnz.co.nz,{'url': 'http://tvnz.co.nz/national-news/dunedin-landslides-considered-stable-5470660'},Unknown,711,Unknown,Moderate
2013-06-20 00:00:00,-45.8237,170.5972,New Zealand,www.3news.co.nz,{'url': 'http://www.3news.co.nz/Mudslide-forces-Dunedin-evacuation/tabid/423/articleID/302350/Default.aspx'},Unknown,352,Unknown,Moderate
2013-07-06 00:00:00,-45.0993,169.287,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,685,Unknown,Moderate
2010-05-20 09:00:00,-45.0775,168.4885,New Zealand,Stuff,{'url': 'http://www.stuff.co.nz/national/3727944/Landslide-blocks-road-to-Glenorchy'},Unknown,523,Unknown,Moderate
2010-03-22 00:00:00,-44.8454,168.1112,New Zealand,en.wikipedia,{'url': 'http://en.wikipedia.org/wiki/Milford_Track'},Unknown,520,Unknown,Moderate
2010-05-26 00:00:00,-44.8431,170.6453,New Zealand,"Rock fall at the Takiroa rock art site, May 2010, Duntroon, North Otago, New Zealand",{'url': 'http://www.radionz.co.nz/news/stories/2010/05/27/124804c6d96a'},Unknown,202,Unknown,Minor
2013-09-10 00:00:00,-44.765,167.9904,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/national/9168176/Milford-Sound-road-re-opened'},Unknown,55,Unknown,Minor
2007-10-18 00:00:00,-44.7493,167.9581,New Zealand,news.com.au,"{'url': 'http://www.news.com.au/travel/story/0,23483,22606683-27977,00.html?from=mostpop'}",Unknown,218,Unknown,Minor
2013-09-10 00:00:00,-44.6887,168.1281,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/national/9168176/Milford-Sound-road-re-opened'},Unknown,754,Unknown,Severe
2017-07-03 18:04:00,-44.675943,167.940244,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/84036717/landslides-hit-milford-sound-building'},Unknown,540,Unknown,Moderate
2014-01-04 12:00:00,-44.5838,168.2992,New Zealand,Otago Daily Times,{'url': 'http://www.odt.co.nz/news/queenstown-lakes/287345/surge-threat-dart-landslip-dam'},Unknown,344,Unknown,Moderate
2007-09-24 00:00:00,-44.3025,169.1339,New Zealand,Radio New Zealand,{'url': 'http://www.radionz.co.nz/news/latest/200709261918/massive_southern_alps_landslide_creates_new_lake'},Unknown,581,Unknown,Moderate
2013-09-10 18:30:00,-44.0582,169.3808,New Zealand,NewsHub,{'url': 'http://www.3news.co.nz/Haast-landslide-affects-Wanaka-tourism/tabid/421/articleID/317036/Default.aspx#.Uo0KZdIm0gQ'},Unknown,117,Unknown,Minor
2013-09-10 00:00:00,-44.0527,169.38,New Zealand,www.3news.co.nz,{'url': 'http://www.3news.co.nz/Haast-landslide-affects-Wanaka-tourism/tabid/421/articleID/317036/Default.aspx#.Uo0KZdIm0gQ'},Unknown,81,Unknown,Minor
2010-06-27 13:30:00,-43.7893,172.7611,New Zealand,Stuff,{'url': 'http://news.google.com/news/story?ncl=http://www.stuff.co.nz/the-press/news/3859697/Slip-closes-Akaroa-road&hl=en'},Unknown,180,Unknown,Minor
2016-04-27 00:00:00,-43.72511118,169.2058993,New Zealand,Radio New Zealand,{'url': 'http://www.radionz.co.nz/news/bites/302476/west-coast-landslip-no-danger-nzta'},Unknown,77,Unknown,Minor
2008-01-13 00:00:00,-43.7015,170.0645,New Zealand,tv3,{'url': 'http://www.tv3.co.nz/News/NationalNews/AorakiMountCooklandslidebiggestinmorethanadecade/tabid/423/articleID/44201/cat/64/Default.aspx'},Unknown,115,Unknown,Minor
2013-01-09 00:00:00,-43.643,170.159,New Zealand,"The January 2013 Mt Haast Rock Avalanche and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park, New Zealand",{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,945,Unknown,Severe
2014-03-05 13:53:00,-43.6069,172.7072,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Resident-Lyttelton-flooding-landslide-complete-chaos/tabid/423/articleID/334706/Default.aspx#http://www.3news.co.nz/Resident-Lyttelton-flooding-landslide-complete-chaos/tabid/423/articleID/334706/Default.aspx'},Unknown,176,Unknown,Minor
2012-04-11 10:00:00,-43.6028,172.7141,New Zealand,stuff,{'url': 'http://www.stuff.co.nz/national/6724574/Mudslide-damages-Lyttelton-power-station'},Unknown,526,Unknown,Moderate
2013-07-01 00:00:00,-43.5897,172.6894,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,543,Unknown,Moderate
2013-01-05 14:00:00,-43.5698,170.1797,New Zealand,gns,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,72,Unknown,Minor
2013-01-21 14:00:00,-43.5611,170.1796,New Zealand,The January 2013 Mt Haast Rock Avalance and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,215,Unknown,Minor
2013-01-23 14:00:00,-43.5606,170.1806,New Zealand,gns,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,516,Unknown,Moderate
2013-01-21 14:00:00,-43.5586,170.1794,New Zealand,The January 2013 Mt Haast Rock Avalance and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,783,Unknown,Severe
2013-07-09 00:00:00,-43.5569,172.7171,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,120,Unknown,Minor
2016-11-16 13:59:00,-43.404715,170.096946,Unknown,Glacier Hub,{'url': 'http://glacierhub.org/2016/11/29/a-landslide-an-earthquake-and-two-glaciers-in-new-zealand/'},Unknown,955,Unknown,Severe
2012-05-29 00:00:00,-43.1826,-71.8666,Chile,twocircles.net,{'url': 'http://twocircles.net/2012may31/chile_mudslide_leaves_3000_stranded.html'},Unknown,446,Unknown,Moderate
2017-01-18 15:59:00,-42.84729726,171.5574912,Unknown,Stuff - The Press,{'url': 'http://www.stuff.co.nz/the-press/news/88557330/arthurs-lewis-pass-closed-due-to-flooding-slips'},Unknown,965,Unknown,Severe
2009-09-28 09:00:00,-42.8216,147.185,Australia,New Norfolk News,{'url': 'http://www.newsnn.net/2009/09/mudslide-closes-molesworth-rd.html'},Unknown,878,Unknown,Severe
2009-08-24 09:00:00,-42.5589,147.8621,Australia,themercury,{'url': 'http://www.themercury.com.au/article/2009/08/25/93081_tasmania-news.html'},Unknown,694,Unknown,Moderate
2016-11-13 15:00:00,-42.521674,173.487651,Unknown,NZ Herald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=11747762'},Unknown,470,Unknown,Moderate
2010-09-10 00:00:00,-42.4635,173.5421,New Zealand,tvnz.co,{'url': 'http://tvnz.co.nz/national-news/kaikoura-landslide-blocks-vital-rail-and-road-3772905'},Unknown,757,Unknown,Severe
2011-06-20 22:00:00,-42.4008,173.6814,New Zealand,nzherald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10733829'},Unknown,954,Unknown,Severe
2017-04-06 13:34:00,-42.26370999,173.8069031,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/nz-earthquake/91363530/mudslide-another-upset-for-earthquakeaffected-kaikoura-couple'},Unknown,824,Unknown,Severe
2016-09-11 12:55:00,-42.068955,171.361312,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/84142211/West-Coast-main-highway-closed-after-slip'},Unknown,91,Unknown,Minor
2009-08-25 00:00:00,-42.05,145.6333,Australia,themercury,{'url': 'http://www.themercury.com.au/article/2009/08/25/93081_tasmania-news.html'},Unknown,554,Unknown,Moderate
2016-11-28 13:59:00,-41.849833,173.725986,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/nz-earthquake/86949154/digger-balances-on-top-of-slip-in-effort-to-repair-severed-road'},Unknown,828,Unknown,Severe
2007-08-10 00:00:00,-41.7689,145.5473,Australia,news.com.au,"{'url': 'http://www.news.com.au/story/0,23599,22225401-421,00.html'}",Unknown,190,Unknown,Minor
2013-07-21 00:00:00,-41.7506,174.2633,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,159,Unknown,Minor
2013-07-21 00:00:00,-41.7331,174.2538,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,81,Unknown,Minor
2013-07-21 00:00:00,-41.7073,173.9339,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,813,Unknown,Severe
2013-07-21 00:00:00,-41.6885,174.1664,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,53,Unknown,Minor
2008-05-09 00:00:00,-41.5877,175.2362,New Zealand,times-age,{'url': 'http://www.times-age.co.nz/localnews/storydisplay.cfm?storyid=3772596&thesection=localnews&thesubsection=&thesecondsubsection='},Unknown,598,Unknown,Moderate
2016-05-11 00:00:00,-41.5833,171.8985,New Zealand,Voxy,{'url': 'http://www.voxy.co.nz/national/5/251219'},Unknown,296,Unknown,Minor
2010-06-22 22:00:00,-41.5681,145.5991,Australia,abc,{'url': 'http://www.abc.net.au/news/stories/2010/06/23/2935248.htm'},Unknown,463,Unknown,Moderate
2013-07-21 00:00:00,-41.5561,174.1455,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,255,Unknown,Minor
2016-07-11 15:00:00,-41.4003,147.0876,Australia,ABC (Australian Broadcasting Corporation),{'url': 'http://www.abc.net.au/news/2016-07-12/ses-call-outs-as-wind-damages-homes/7588502'},Unknown,942,Unknown,Severe
2011-05-26 00:00:00,-41.3913,173.1976,New Zealand,nzherald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10728312'},Unknown,627,Unknown,Moderate
2010-05-16 09:00:00,-41.3874,172.8235,New Zealand,radionz,{'url': 'http://www.radionz.co.nz/news/stories/2010/05/17/1248042ddda9'},Unknown,822,Unknown,Severe
2013-07-21 00:00:00,-41.3448,174.6851,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,839,Unknown,Severe
2016-11-15 15:00:00,-41.335096,174.735459,Unknown,Pressreader,{'url': 'http://www.pressreader.com/new-zealand/the-dominion-post/20161116/281569470310663'},Unknown,779,Unknown,Severe
2010-06-06 15:00:00,-41.3318,174.8229,New Zealand,3news,{'url': 'http://www.3news.co.nz/Landslide-leaves-Wellington-couple-temporarily-homeless/tabid/423/articleID/159623/Default.aspx'},Unknown,197,Unknown,Minor
2017-03-11 17:22:00,-41.329815,174.831446,Unknown,Radio NZ,{'url': 'http://www.radionz.co.nz/news/top/326417/tasman-tempest-creates-havoc'},Unknown,159,Unknown,Minor
2017-04-06 13:19:00,-41.32446098,174.7660073,Unknown,Newshub,{'url': 'http://www.newshub.co.nz/home/new-zealand/2017/04/wellington-houses-evacuated-on-friday-morning-after-landslip.html'},Unknown,198,Unknown,Minor
2013-06-01 04:30:00,-41.3233,174.7681,New Zealand,www.listener.co.nz,{'url': 'http://www.listener.co.nz/current-affairs/science/what-are-the-triggers-for-landslides/'},Unknown,406,Unknown,Moderate
2017-04-05 13:19:00,-41.31460954,174.7789668,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/91266557/tenants-and-their-home-safe-after-slip-hits-their-house-bringing-power-pole-with-it'},Unknown,761,Unknown,Severe
2011-08-17 23:45:00,-41.3078,174.798,New Zealand,stuff,{'url': 'http://www.stuff.co.nz/dominion-post/news/5463971/Big-slip-in-Hataitai-overnight'},Unknown,762,Unknown,Severe
2013-09-25 09:30:00,-41.2951,174.0073,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/marlborough-express/news/9211248/Slip-sent-some-residents-packing'},Unknown,874,Unknown,Severe
2014-04-16 21:30:00,-41.2941,174.7855,New Zealand,The Dominion Post,{'url': 'http://www.stuff.co.nz/dominion-post/news/wellington/9955129/1940s-block-survives-mudslide'},Unknown,821,Unknown,Severe
2013-11-28 16:00:00,-41.2869,174.0184,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/marlborough-express/news/9464718/Family-optimistic-after-mudslide'},Unknown,269,Unknown,Minor
2015-08-10 17:20:00,-41.2865,174.7533,New Zealand,Dominion Post,{'url': 'http://www.newsjs.com/url.php?p=www.stuff.co.nz/dominion-post/news/71001912/karori-land-slip-damages-two-cars-in-hilly-wellington-suburb'},Unknown,53,Unknown,Minor
2016-11-12 15:00:00,-41.286411,174.769403,Unknown,News Now,{'url': 'https://www.tvnz.co.nz/one-news/new-zealand/landslide-cause-road-closures-in-wellington'},Unknown,550,Unknown,Moderate
2011-05-27 04:00:00,-41.2737,173.287,New Zealand,nzherald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10728312'},Unknown,828,Unknown,Severe
2013-07-21 00:00:00,-41.2619,174.7929,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,174,Unknown,Minor
2013-07-14 00:00:00,-41.2614,174.7133,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,528,Unknown,Moderate
2017-04-17 13:34:00,-41.25317096,174.7697639,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/dominion-post/news/91642030/rock-slide-cuts-trains-on-wellingtons-johnsonville-train-line'},Unknown,547,Unknown,Moderate
2017-07-10 14:21:00,-41.23655207,174.8067213,Unknown,1NewsNow,{'url': 'https://www.tvnz.co.nz/one-news/new-zealand/raw-video-rocks-and-debris-come-thundering-down-wellington-hill-blocking-major-route-into-city-until-evening'},Unknown,831,Unknown,Severe
2013-06-17 01:00:00,-41.1869,173.363,New Zealand,www.stuff.co.nz,{'url': 'http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/'},Unknown,759,Unknown,Severe
2016-10-03 00:00:00,-41.1349,145.9144,Australia,Advocate,{'url': 'http://www.theadvocate.com.au/story/4204062/rain-causes-burnie-landslips/'},Unknown,123,Unknown,Minor
2013-07-14 18:00:00,-41.1274,146.1258,Australia,www.theadvocate.com.au,{'url': 'http://www.theadvocate.com.au/story/1637577/landslide-closes-road-as-the-rain-pelts-down/?cs=87'},Unknown,715,Unknown,Moderate
2013-08-05 11:30:00,-41.1212,146.1066,Australia,www.theadvocate.com.au,{'url': 'http://www.theadvocate.com.au/story/1688744/caught-in-a-landslide/?cs=87'},Unknown,975,Unknown,Severe
2017-04-22 17:55:00,-41.10366565,175.2949249,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/dominion-post/91827907/state-highway-2-reopens-after-landslide-at-top-of-rimutaka-hill-hit-cars'},Unknown,223,Unknown,Minor
2009-12-01 09:00:00,-41.0875,175.1498,New Zealand,Stuff,{'url': 'http://www.stuff.co.nz/dominion-post/news/3113408/House-threatened-by-SH2-slip'},Unknown,312,Unknown,Moderate
2009-08-23 00:00:00,-41.0528,145.9063,Australia,NEWS.com.au,{'url': 'https://ns1.sammyboy.com/threads/take-care-aus-eastern-states-bunker-down-wild-weather.36247/'},Unknown,958,Unknown,Severe
2016-10-02 23:00:00,-41.0443,145.8772,Australia,Advocate,{'url': 'http://www.theadvocate.com.au/story/4204062/rain-causes-burnie-landslips/'},Unknown,971,Unknown,Severe
2013-08-13 03:00:00,-41.0415,145.8596,Australia,www.theadvocate.com.au,{'url': 'http://www.theadvocate.com.au/story/1711950/100000-mudslide-chaos/?cs=86'},Unknown,620,Unknown,Moderate
2013-04-21 00:00:00,-41.0387,172.9486,New Zealand,wellington.scoop.co.nz,{'url': 'http://wellington.scoop.co.nz/?p=54702'},Unknown,74,Unknown,Minor
2013-06-16 13:15:00,-41.0079,173.0089,New Zealand,www.odt.co.nz,{'url': 'http://www.odt.co.nz/news/national/261392/landslide-victim-tower-strength'},Unknown,629,Unknown,Moderate
2016-10-07 00:00:00,-40.9345,145.6226,Australia,Advocate,{'url': 'http://www.theadvocate.com.au/story/4214289/port-road-closes-for-five-days-of-slip-work/'},Unknown,492,Unknown,Moderate
2016-07-15 00:00:00,-40.9324,145.6201,Australia,ABC.net,{'url': 'http://www.abc.net.au/news/2016-07-29/landslip-threatens-road-access-to-boat-harbour-in-nw-tasmania/7674156'},Unknown,708,Unknown,Moderate
2013-06-17 00:00:00,-40.8834,172.7672,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/taranaki-daily-news/news/8807039/Second-Marahau-home-wrecked-by-huge-landslide/'},Unknown,102,Unknown,Minor
