date,latitude,longitude,location,source,source_url,trigger,rainfall (mm),landslide_type,severity
2014-05-20 00:00:00,-46.7748,167.6337,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Kakapo-Maggie-dies-in-landslide/tabid/1160/articleID/347074/Default.aspx'},Unknown,966,Landslide,Severe
2010-05-29 06:45:00,-45.9034,170.0982,New Zealand,Otago Daily Times,{'url': 'http://www.odt.co.nz/news/dunedin/108264/landslide-shunts-camp-building'},Unknown,990,Debris Flow,Severe
2015-06-04 00:00:00,-45.8767,170.6273,New Zealand,Stuff.co,{'url': 'http://www.stuff.co.nz/national/69094695/prison-officer-trapped-after-cars-landslide-plunge'},Unknown,863,Debris Flow,Severe
2013-06-17 00:00:00,-45.8727,170.5863,New Zealand,www.radionz.co.nz,{'url': 'http://www.radionz.co.nz/news/national/137785/flooding-strikes-north-otago-and-canterbury'},Rainfall,906,Landslide,Severe
2014-05-01 04:00:00,-45.8618,170.509,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Landslide-crashes-into-Dunedin-house/tabid/423/articleID/342263/Default.aspx'},Unknown,681,Landslide,Moderate
2010-02-17 00:00:00,-45.858,-67.5078,Argentina,momento24.com,{'url': 'http://momento24.com/en/2010/02/18/mudslide-leaves-two-killed-in-comodoro-rivadavia/'},Unknown,169,Earth Flow,Minor
2010-05-29 02:00:00,-45.8456,170.6328,New Zealand,odt,{'url': 'http://www.odt.co.nz/news/dunedin/108264/landslide-shunts-camp-building'},Unknown,373,Slump,Moderate
2013-06-17 00:00:00,-45.8358,170.6646,New Zealand,www.radionz.co.nz,{'url': 'http://www.radionz.co.nz/news/national/137785/flooding-strikes-north-otago-and-canterbury'},Rainfall,982,Slump,Severe
2013-06-19 22:00:00,-45.8243,170.5957,New Zealand,tvnz.co.nz,{'url': 'http://tvnz.co.nz/national-news/dunedin-landslides-considered-stable-5470660'},Unknown,310,Landslide,Moderate
2013-06-20 00:00:00,-45.8237,170.5972,New Zealand,www.3news.co.nz,{'url': 'http://www.3news.co.nz/Mudslide-forces-Dunedin-evacuation/tabid/423/articleID/302350/Default.aspx'},Unknown,881,Slump,Severe
2013-07-06 00:00:00,-45.0993,169.287,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,730,Landslide,Moderate
2010-05-20 09:00:00,-45.0775,168.4885,New Zealand,Stuff,{'url': 'http://www.stuff.co.nz/national/3727944/Landslide-blocks-road-to-Glenorchy'},Unknown,395,Landslide,Moderate
2010-03-22 00:00:00,-44.8454,168.1112,New Zealand,en.wikipedia,{'url': 'http://en.wikipedia.org/wiki/Milford_Track'},Unknown,113,Mudslide,Minor
2010-05-26 00:00:00,-44.8431,170.6453,New Zealand,"Rock fall at the Takiroa rock art site, May 2010, Duntroon, North Otago, New Zealand",{'url': 'http://www.radionz.co.nz/news/stories/2010/05/27/124804c6d96a'},Unknown,346,Earth Flow,Moderate
2013-09-10 00:00:00,-44.765,167.9904,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/national/9168176/Milford-Sound-road-re-opened'},Unknown,970,Mudslide,Severe
2007-10-18 00:00:00,-44.7493,167.9581,New Zealand,news.com.au,"{'url': 'http://www.news.com.au/travel/story/0,23483,22606683-27977,00.html?from=mostpop'}",Unknown,446,Slump,Moderate
2013-09-10 00:00:00,-44.6887,168.1281,New Zealand,www.stuff.co.nz,{'url': 'http://www.stuff.co.nz/national/9168176/Milford-Sound-road-re-opened'},Unknown,675,Earth Flow,Moderate
2017-07-03 18:04:00,-44.675943,167.940244,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/84036717/landslides-hit-milford-sound-building'},Unknown,822,Earth Flow,Severe
2014-01-04 12:00:00,-44.5838,168.2992,New Zealand,Otago Daily Times,{'url': 'http://www.odt.co.nz/news/queenstown-lakes/287345/surge-threat-dart-landslip-dam'},Unknown,500,Slump,Moderate
2007-09-24 00:00:00,-44.3025,169.1339,New Zealand,Radio New Zealand,{'url': 'http://www.radionz.co.nz/news/latest/200709261918/massive_southern_alps_landslide_creates_new_lake'},Unknown,456,Mudslide,Moderate
2013-09-10 18:30:00,-44.0582,169.3808,New Zealand,NewsHub,{'url': 'http://www.3news.co.nz/Haast-landslide-affects-Wanaka-tourism/tabid/421/articleID/317036/Default.aspx#.Uo0KZdIm0gQ'},Unknown,144,Earth Flow,Minor
2013-09-10 00:00:00,-44.0527,169.38,New Zealand,www.3news.co.nz,{'url': 'http://www.3news.co.nz/Haast-landslide-affects-Wanaka-tourism/tabid/421/articleID/317036/Default.aspx#.Uo0KZdIm0gQ'},Unknown,906,Mudslide,Severe
2010-06-27 13:30:00,-43.7893,172.7611,New Zealand,Stuff,{'url': 'http://news.google.com/news/story?ncl=http://www.stuff.co.nz/the-press/news/3859697/Slip-closes-Akaroa-road&hl=en'},Unknown,94,Rockfall,Minor
2016-04-27 00:00:00,-43.72511118,169.2058993,New Zealand,Radio New Zealand,{'url': 'http://www.radionz.co.nz/news/bites/302476/west-coast-landslip-no-danger-nzta'},Unknown,607,Debris Flow,Moderate
2008-01-13 00:00:00,-43.7015,170.0645,New Zealand,tv3,{'url': 'http://www.tv3.co.nz/News/NationalNews/AorakiMountCooklandslidebiggestinmorethanadecade/tabid/423/articleID/44201/cat/64/Default.aspx'},Unknown,688,Debris Flow,Moderate
2013-01-09 00:00:00,-43.643,170.159,New Zealand,"The January 2013 Mt Haast Rock Avalanche and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park, New Zealand",{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,296,Landslide,Minor
2014-03-05 13:53:00,-43.6069,172.7072,New Zealand,3 News,{'url': 'http://www.3news.co.nz/Resident-Lyttelton-flooding-landslide-complete-chaos/tabid/423/articleID/334706/Default.aspx#http://www.3news.co.nz/Resident-Lyttelton-flooding-landslide-complete-chaos/tabid/423/articleID/334706/Default.aspx'},Rainfall,461,Debris Flow,Moderate
2012-04-11 10:00:00,-43.6028,172.7141,New Zealand,stuff,{'url': 'http://www.stuff.co.nz/national/6724574/Mudslide-damages-Lyttelton-power-station'},Unknown,191,Mudslide,Minor
2013-07-01 00:00:00,-43.5897,172.6894,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,557,Rockfall,Moderate
2013-01-05 14:00:00,-43.5698,170.1797,New Zealand,gns,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,653,Slump,Moderate
2013-01-21 14:00:00,-43.5611,170.1796,New Zealand,The January 2013 Mt Haast Rock Avalance and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,209,Slump,Minor
2013-01-23 14:00:00,-43.5606,170.1806,New Zealand,gns,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,565,Debris Flow,Moderate
2013-01-21 14:00:00,-43.5586,170.1794,New Zealand,The January 2013 Mt Haast Rock Avalance and Ball Ridge Rock Fall in Aoraki/Mt Cook National Park,{'url': 'http://www.gns.cri.nz/static/pubs/2013/SR%202013-033.pdf'},Unknown,774,Mudslide,Severe
2013-07-09 00:00:00,-43.5569,172.7171,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,744,Slump,Moderate
2016-11-16 13:59:00,-43.404715,170.096946,Unknown,Glacier Hub,{'url': 'http://glacierhub.org/2016/11/29/a-landslide-an-earthquake-and-two-glaciers-in-new-zealand/'},Earthquake,209,Debris Flow,Minor
2012-05-29 00:00:00,-43.1826,-71.8666,Chile,twocircles.net,{'url': 'http://twocircles.net/2012may31/chile_mudslide_leaves_3000_stranded.html'},Unknown,249,Debris Flow,Minor
2017-01-18 15:59:00,-42.84729726,171.5574912,Unknown,Stuff - The Press,{'url': 'http://www.stuff.co.nz/the-press/news/88557330/arthurs-lewis-pass-closed-due-to-flooding-slips'},Rainfall,460,Debris Flow,Moderate
2009-09-28 09:00:00,-42.8216,147.185,Australia,New Norfolk News,{'url': 'http://www.newsnn.net/2009/09/mudslide-closes-molesworth-rd.html'},Unknown,699,Slump,Moderate
2009-08-24 09:00:00,-42.5589,147.8621,Australia,themercury,{'url': 'http://www.themercury.com.au/article/2009/08/25/93081_tasmania-news.html'},Unknown,65,Debris Flow,Minor
2016-11-13 15:00:00,-42.521674,173.487651,Unknown,NZ Herald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=11747762'},Unknown,215,Landslide,Minor
2010-09-10 00:00:00,-42.4635,173.5421,New Zealand,tvnz.co,{'url': 'http://tvnz.co.nz/national-news/kaikoura-landslide-blocks-vital-rail-and-road-3772905'},Unknown,498,Earth Flow,Moderate
2011-06-20 22:00:00,-42.4008,173.6814,New Zealand,nzherald,{'url': 'http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10733829'},Unknown,148,Debris Flow,Minor
2017-04-06 13:34:00,-42.26370999,173.8069031,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/nz-earthquake/91363530/mudslide-another-upset-for-earthquakeaffected-kaikoura-couple'},Earthquake,478,Slump,Moderate
2016-09-11 12:55:00,-42.068955,171.361312,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/84142211/West-Coast-main-highway-closed-after-slip'},Unknown,471,Earth Flow,Moderate
2009-08-25 00:00:00,-42.05,145.6333,Australia,themercury,{'url': 'http://www.themercury.com.au/article/2009/08/25/93081_tasmania-news.html'},Unknown,422,Landslide,Moderate
2016-11-28 13:59:00,-41.849833,173.725986,Unknown,Stuff,{'url': 'http://www.stuff.co.nz/national/nz-earthquake/86949154/digger-balances-on-top-of-slip-in-effort-to-repair-severed-road'},Earthquake,684,Rockfall,Moderate
2007-08-10 00:00:00,-41.7689,145.5473,Australia,news.com.au,"{'url': 'http://www.news.com.au/story/0,23599,22225401-421,00.html'}",Unknown,299,Rockfall,Minor
2013-07-21 00:00:00,-41.7506,174.2633,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,916,Mudslide,Severe
2013-07-21 00:00:00,-41.7331,174.2538,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,394,Slump,Moderate
2013-07-21 00:00:00,-41.7073,173.9339,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,243,Landslide,Minor
2013-07-21 00:00:00,-41.6885,174.1664,New Zealand,livenews.co.nz,{'url': 'http://livenews.co.nz/2013/09/02/july-2013-landslides/'},Unknown,873,Rockfall,Severe
